instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
2	r4.2xlarge	16	122000	14540	5	150000000	25	446
2	r4.2xlarge	16	122000	19353	5	200000000	50	780
2	r4.2xlarge	16	122000	19558	10	100000000	25	434
2	r4.2xlarge	16	122000	24268	5	250000000	25	2262
4	r4.2xlarge	32	244000	19558	10	100000000	25	174
4	r4.2xlarge	32	244000	29081	5	300000000	50	438
6	r4.2xlarge	48	366000	24268	5	250000000	25	182
8	r4.2xlarge	64	488000	14540	5	150000000	50	126
10	r4.2xlarge	80	610000	14540	5	150000000	25	96
10	r4.2xlarge	80	610000	19353	5	200000000	50	136
10	r4.2xlarge	80	610000	19558	10	100000000	50	98
10	r4.2xlarge	80	610000	24268	5	250000000	25	124
10	r4.2xlarge	80	610000	29081	5	300000000	50	172
10	r4.xlarge	40	305000	19353	5	200000000	25	184
12	r4.2xlarge	96	732000	19558	10	100000000	50	88
