instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
2	r4.2xlarge	16	122000	14540	5	150000000	50	590
2	r4.2xlarge	16	122000	14540	5	150000000	100	592
2	r4.2xlarge	16	122000	19558	10	100000000	25	428
2	r4.2xlarge	16	122000	19558	10	100000000	50	478
4	r4.2xlarge	32	244000	24268	5	250000000	50	368
4	r4.2xlarge	32	244000	29081	5	300000000	50	434
6	r4.2xlarge	48	366000	24268	5	250000000	100	234
8	r4.2xlarge	64	488000	14540	5	150000000	50	128
8	r4.2xlarge	64	488000	19353	5	200000000	50	156
8	r4.2xlarge	64	488000	29081	5	300000000	50	212
10	r4.2xlarge	80	610000	29593	15	100000000	100	116
10	r4.xlarge	40	305000	19353	5	200000000	25	180
