instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	150
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	152
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	154
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	156
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	162
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	136
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	180
2	m4.2xlarge	16	64000	12625	100	125000000	0.25	162
2	m4.2xlarge	16	64000	12625	100	125000000	0.5	188
2	m4.2xlarge	16	64000	12625	100	125000000	0.75	216
2	m4.2xlarge	16	64000	12625	100	125000000	0.75	220
2	m4.2xlarge	16	64000	12625	100	125000000	1.0	246
2	m4.2xlarge	16	64000	15150	100	150000000	0.0	160
2	m4.2xlarge	16	64000	15150	100	150000000	0.5	218
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	248
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	250
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	252
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	262
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	280
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	284
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	288
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	298
2	m4.2xlarge	16	64000	17675	100	175000000	0.0	182
2	m4.2xlarge	16	64000	17675	100	175000000	0.75	290
2	m4.2xlarge	16	64000	20200	100	200000000	0.0	202
2	m4.2xlarge	16	64000	20200	100	200000000	0.5	282
2	m4.2xlarge	16	64000	20200	100	200000000	0.75	326
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	166
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	168
2	r4.2xlarge	16	122000	15150	100	150000000	0.5	170
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	102
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	104
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	106
4	c4.2xlarge	32	60000	15150	100	150000000	0.5	112
4	m4.2xlarge	32	128000	12625	100	125000000	0.0	66
4	m4.2xlarge	32	128000	12625	100	125000000	0.25	90
4	m4.2xlarge	32	128000	12625	100	125000000	0.5	120
