Sort,C3O,630,152.85465383529663
Grep,C3O,810,525.8321480751038
SGDLR,C3O,900,540.8910999298096
K-Means,C3O,900,486.22769713401794
Page Rank,C3O,1410,1048.6619200706482
Sort,C3O,449,110.8916289806366
Grep,C3O,520,553.6076753139496
SGDLR,C3O,488,483.797315120697
K-Means,C3O,654,483.089008808136
Page Rank,C3O,1180,1043.9225850105286
Sort,C3O,124,106.76384997367859
Grep,C3O,155,520.5098631381989
SGDLR,C3O,171,466.8184230327606
K-Means,C3O,136,309.6353509426117
Page Rank,C3O,296,935.9921658039093
Sort,C3O,85,76.91236519813538
Grep,C3O,105,319.83327317237854
SGDLR,C3O,86,199.7493360042572
K-Means,C3O,94,262.94222378730774
Page Rank,C3O,138,501.2207670211792
Sort,C3O,25,23.806313037872314
Grep,C3O,38,106.56906700134277
SGDLR,C3O,12,23.599373817443848
K-Means,C3O,53,151.12412905693054
Page Rank,C3O,31,103.17750692367554
